id,author_id,author,timestamp,text,followers
1.57487e+18,28882400.0,ChrisVolkernick,2022-09-27T21:12:55.000Z,@elonmusk @WholeMarsBlog Backwards compatibility ☠️,2457
1.57487e+18,8.99644e+17,RepliqLer,2022-09-27T21:12:45.000Z,@Spartal138 @Bscgemalerts @mogulofficial_ @elonmusk @cz_binance,44
1.57487e+18,1.24169e+18,envelope_art,2022-09-27T21:12:40.000Z,"@elonmusk Especially the evidence frozen embryo inspiringly defies the routine practice, the royal morphological transfer has never been attempted in modern nuclear instruments",25
1.57487e+18,1.39827e+18,DomitrosH,2022-09-27T21:12:37.000Z,@RealDanODowd @WholeMarsBlog @elonmusk @Tesla https://t.co/9nHy7vuF8B,43
1.57487e+18,1.49689e+18,DanielSmockAOMO,2022-09-27T21:12:28.000Z,"@teslaownersSV @SpaceX @elonmusk Vala Afshar\n@ValaAfshar\n·\n22h\nWhen I think about 21st century examples of engineering excellence, this dual \n@SpaceX\n rocket landing comes to mind\nFrom \nJM Alvarez-Pallete",185
1.57487e+18,71995189.0,USMC_NASCARFire,2022-09-27T21:12:26.000Z,"@StatsTeslaApp @elonmusk Yes. What’s bad, is if I was rocking out when I got out. It stays the same volume, and can make you spill coffee everywhere in the morning.",998
1.57487e+18,7.20651e+17,aseg_p,2022-09-27T21:12:26.000Z,@elonmusk Am wishing for that dear Fellow Innovator.,645
1.57487e+18,1.30893e+18,Th3NamelssGhoul,2022-09-27T21:12:24.000Z,@pandemoniosss @PsiclogoTuiter1 @escup1tajo_bebe @geocord @yonosoy_tota @elonmusk Uy no quería que se sepa 😸 https://t.co/FoF7ODP5LG,1861
1.57487e+18,610442557.0,Fgabrieltomas,2022-09-27T21:12:22.000Z,@safetyunplugged @WholeMarsBlog @RealDanODowd @elonmusk @Tesla Hi bot,88
1.57487e+18,1.34872e+18,TheKing1835,2022-09-27T21:12:20.000Z,@jenzfc @klwtts @Tesla @elonmusk Response is certainly skewed. Many people posting have a financial incentive to side with Tesla.,25
1.57487e+18,1.5743e+18,rezaaaa1381,2022-09-27T21:12:18.000Z,@elonmusk @elonmusk where is your starlink bro?\nWe dead here,0
1.57487e+18,1.40585e+18,matin_crypto1,2022-09-27T21:12:16.000Z,@elonmusk #Iran,262
1.57487e+18,1.53609e+18,_SpaceSeX,2022-09-27T21:12:15.000Z,Where is the love? @elonmusk \n\nhttps://t.co/1He5DeDLqZ,175
1.57487e+18,1.5192e+18,SaveLibertyUS,2022-09-27T21:12:14.000Z,@RenataKonkoly @elonmusk How about this photo?  I can only identify Damian because of his long hair. https://t.co/NipPs5vuMe,239
1.57487e+18,1.53168e+18,RockstarNorth00,2022-09-27T21:12:11.000Z,@edboon123 @elonmusk @edboon123 @elonmusk @ParisJackson @LisaPresley,0
1.57487e+18,1.57467e+18,Unistarlink,2022-09-27T21:12:08.000Z,@AliDarKKinG2 @elonmusk https://t.co/C1pz6gkv66,0
1.57487e+18,1.44937e+18,carregadorlg3k,2022-09-27T21:12:06.000Z,Thanks @Binance @elonmusk  💪💪 https://t.co/TutndwKkSz,14
1.57487e+18,1.44136e+18,lKj0ZoDUHbKDkl7,2022-09-27T21:12:05.000Z,@elonmusk https://t.co/fyhUigUm7f,117
1.57487e+18,1.52754e+18,bongrat55,2022-09-27T21:12:01.000Z,"@JamesVictorino2 @compound248 @elonmusk I’m not sure I’d call it a day of reckoning, exactly. The trial + remedy will be embarrassing for him. He will need to sell another $10bn of $TSLA, which the lemmings will be happy to buy from him at high prices. True reckoning probably comes later.",250
1.57487e+18,1.44136e+18,lKj0ZoDUHbKDkl7,2022-09-27T21:11:56.000Z,@elonmusk https://t.co/z3ChaBE46g,117
